Com_Code,Commune,TT_Family,RLUn_1Ha_N,RLUn_1Ha_P
110102,Memang,524,178,33.9695
150307,Kbal Trach,2062,914,44.3259
150209,Veal,1148,359,31.2718
100609,Thma Kreae,1129,299,26.4836
150109,Ta Lou,4483,607,13.54
150602,Krapeu Pir,554,277,50
150303,Boeng Kantuot,1437,602,41.8928
40401,Chranouk,1791,680,37.9676
150508,Banteay Dei,1261,295,23.3941
110301,Dak Dam,363,13,3.5813
150302,Ansa Chambak,1598,393,24.5932
150507,Svay At,986,212,21.501
110501,Monourom,312,0,0
60105,Chaeung Daeung,2242,1167,52.0517
60706,Pnov,545,118,21.6514
150505,Prey Nhi,1063,200,18.8147
100307,Saob,2118,680,32.1058
100208,Krakor,813,262,32.2263
60117,Tnaot Chum,1908,589,30.87
150503,Lolok Sa,1959,820,41.8581
60101,Bak Sna,1424,599,42.0646
150506,Roleab,3150,1131,35.9048
60111,Krava,2294,900,39.2328
100207,Kaoh Trong,342,216,63.1579
100210,Ou Ruessei,2521,621,24.6331
150311,Tnaot Chum,2698,1030,38.1764
20901,Ta Taok,674,136,20.178
150403,Phteah Rung,3598,1134,31.5175
100505,Svay Chreah,2314,492,21.2619
40102,Chhnok Tru,950,38,4
40406,Pralay Meas,1021,486,47.6004
150401,Bak Chenhchien,1429,422,29.5311
150501,Chamraeun Phal,1493,352,23.5767
60102,Ballangk,3616,1006,27.8208
150407,Samraong,2939,958,32.5961
31514,Tuol Sambuor,1098,105,9.5628
100604,Kantuot,1320,254,19.2424
40111,Trapeang Chan,1248,796,63.7821
100209,Kracheh,1403,11,0.784
60108,Chong Doung,2778,1412,50.8279
31506,Ou Mlu,2239,281,12.5502
31503,Dang Kdar,2427,299,12.3197
60110,Kokir Thum,2094,773,36.915
40103,Chak,735,184,25.034
100211,Roka Kandal,1148,134,11.6725
40104,Khon Rang,1746,1011,57.9038
110302,Saen Monourom,629,18,2.8617
100301,Chambak,1797,771,42.9048
100305,Preaek Prasab,3093,998,32.2664
100306,Ruessei Kaev,1452,745,51.3085
40402,Dar,1609,1304,81.0441
40110,Ponley,1719,537,31.2391
150404,Prongil,2263,655,28.9439
100601,Bos Leav,1573,716,45.5181
100608,Thma Andaeuk,979,272,27.7835
40105,Kampong Preah Kokir,458,104,22.7074
150603,Anlong Reab,1031,157,15.2279
31501,Areaks Tnot,2173,413,19.006
40107,Phsar,1275,434,34.0392
60104,Boeng,2213,609,27.5192
40109,Popel,1191,892,74.895
60103,Baray,2628,958,36.4536
40108,Pech Changvar,804,325,40.4229
150604,Pramaoy,1349,364,26.983
110105,Srae Preah,398,137,34.4221
40106,Melum,991,349,35.217
60107,Chhuk Khsach,2916,1977,67.7984
40405,Pou,1197,693,57.8947
31504,Khpob Ta Nguon,1988,767,38.5815
100606,Kaoh Chraeng,492,151,30.6911
150310,Svay Sa,1514,196,12.9458
100501,Khsuem,2087,545,26.114
150605,Thma Da,426,12,2.8169
150304,Chheu Tom,3331,1271,38.1567
30208,Ta Prok,1315,447,33.9924
100308,Ta Mau,1677,593,35.3608
100303,Kampong Kor,1317,658,49.962
30202,Chamkar Andoung,3377,262,7.7584
40407,Samraong Saen,379,89,23.4828
150402,Leach,1769,838,47.3714
40101,Anhchanh Rung,1235,179,14.4939
30204,Lvea Leu,1594,574,36.01
30205,Spueu,3641,1915,52.5954
31510,Preak Kak,6267,1162,18.5416
60118,Triel,3805,1449,38.0815
40408,Svay Rumpear,1327,764,57.5735
40612,Svay Chrum,3289,1987,60.4135
100105,Kanhchor,1172,482,41.1263
40608,Prasnoeb,1358,317,23.3432
40806,Krang Skear,3167,850,26.8393
31505,Me Sar Chrey,2836,1421,50.1058
150406,Santreae,1382,451,32.6339
150405,Rokat,1006,485,48.2107
30203,Cheyyou,2873,763,26.5576
31507,Peam Kaoh Snar,2391,899,37.5993
40409,Trangel,1278,665,52.0344
31508,Preah Andoung,672,477,70.9821
60115,Sralau,2263,910,40.2121
40602,Banteay Preal,1061,429,40.4336
30206,Svay Teab,4869,918,18.854
40301,Phsar Chhnang,3148,240,7.6239
40304,Khsam,1371,198,14.442
60112,Andoung Pou,1187,478,40.2696
110104,Srae Khtum,2372,51,2.1501
31512,Soupheas,2361,1057,44.7692
40403,Kampong Hau,1713,676,39.4629
40607,Pongro,1769,1453,82.1368
40204,Peam Chhkaok,1160,278,23.9655
30905,Krouch Chhmar,2002,512,25.5744
100108,Preaek Saman,2144,1266,59.0485
60109,Chrolong,1333,300,22.5056
30911,Trea,2112,603,28.5511
30207,Ta Ong,3221,510,15.8336
30910,Svay Khleang,1843,667,36.191
100304,Kaoh Ta Suy,370,0,0
30907,Peus Pir,1171,601,51.3237
60113,Pongro,1773,651,36.7174
60106,Chraneang,2515,1279,50.8549
150601,Ou Saom,290,69,23.7931
40611,Srae Thmei,2650,2014,76
31513,Tuol Preah Khleang,1067,283,26.523
100101,Chhloung,1499,364,24.2829
40302,Kampong Chhnang,2188,189,8.638
30906,Peus Muoy,1664,1046,62.8606
100103,Han Chey,1573,157,9.9809
60114,Sou Young,1915,877,45.7963
30111,Trab,2186,684,31.29
100107,Pongro,1718,312,18.1607
100106,Khsach Andaet,1114,657,58.9767
30909,Roka Khnor,2298,229,9.9652
30902,Chumnik,2163,949,43.8742
100102,Damrei Phong,1621,703,43.3683
40303,B'er,1221,53,4.3407
40203,Kampong Ous,855,299,34.9708
40606,Krang Leav,1390,555,39.9281
60116,Svay Phleung,1041,598,57.4448
30108,Sandaek,2775,1052,37.9099
30908,Preaek A chi,1395,919,65.8781
30901,Chhuk,2440,423,17.3361
30305,Pring Chrum,1817,212,11.6676
40604,Chrey Bak,2498,1374,55.004
31509,Preaek Bak,2282,1045,45.7932
30405,Seda,4292,347,8.0848
30306,Sampong Chey,4257,1826,42.8941
30912,Tuol Snuol,2829,968,34.217
31302,Boeng Nay,3382,2174,64.2815
100503,Snuol,3221,248,7.6995
