Com_Code,Commune,Family,PigFarm,PigRaised,ChickFarm,ChickRaise,DuckFarm,DuckRaised,CowFarm,CowRaised,BuffFarm,BuffRaised,Rpig,Rpoultry,Rcow,Rbuff
140204,Krabau,2654,905,1390,2204,6249,77,397,754,1032,1120,2369,1.5359,2.9136,1.3687,2.1152
120805,Preaek Phnov,2557,26,163,58,209,9,47,16,58,0,0,6.2692,3.8209,3.625,0
50808,Yea Angk,1862,654,1332,1632,10632,127,1112,1745,8380,0,0,2.0367,6.6765,4.8023,0
140810,Reab,2905,332,1218,2359,17979,105,32668,472,1025,236,459,3.6687,20.5548,2.1716,1.9449
140406,Preal,2613,720,1422,2591,34312,463,11369,1307,3440,695,1682,1.975,14.9578,2.632,2.4201
80809,Mkak,2118,89,503,1398,10685,79,1283,1445,4253,0,0,5.6517,8.1029,2.9433,0
90703,Chumnoab,85,13,44,83,1295,8,37,0,0,63,171,3.3846,14.6374,0,2.7143
120708,Preaek Lieb,3192,27,120,571,3480,502,535,37,144,12,12,4.4444,3.7418,3.8919,1
80307,Preaek Ampil,2668,86,387,1070,2824,39,144,592,1090,5,21,4.5,2.6763,1.8412,4.2
120804,Ponhea Pon,1406,113,753,1065,27804,52,587,753,2064,0,0,6.6637,25.4172,2.741,0
80303,Kampong Chamlang,1237,43,176,737,11385,21,69,182,417,201,342,4.093,15.1108,2.2912,1.7015
120709,Preaek Ta Sek,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50502,Cheung Roas,1364,186,1124,1172,6548,58,572,1083,3461,0,0,6.043,5.7886,3.1958,0
140205,Seang Khveang,2990,1875,2963,2506,12151,348,2827,1153,1495,411,773,1.5803,5.2481,1.2966,1.8808
50513,Damnak Reang,1345,77,310,949,6755,82,300,935,3363,0,0,4.026,6.8429,3.5968,0
120902,Kouk Roka,2506,52,287,1082,4202,62,5121,468,1167,0,0,5.5192,8.1495,2.4936,0
120703,Svay Pak,2465,54,189,841,12513,36,6062,13,107,1,15,3.5,21.1802,8.2308,15
