Province,District,Commune,Vil_Code,Village,L1_HH,L2_HH,L1_Per_HH,L2_Per_HH,TOT_PerHH,TOP_HH,Rounds,Scale
Kampong Speu,Basedth,Toul Sala,5011213,Tnaot,12,9,0.126,0.095,0.221,21,2011,1
Kampong Speu,Basedth,Toul Sala,5011214,Changriek,3,8,0.048,0.129,0.177,11,2011,1
Kampong Speu,Basedth,Toul Sala,5011215,Veal,17,28,0.172,0.283,0.455,45,2011,1
Kampong Speu,Basedth,Toul Sala,5011216,Khla Chol,16,1,0.25,0.016,0.266,17,2011,1
Kampong Speu,Basedth,Toul Sala,5011217,Trapeang Kak,5,27,0.035,0.191,0.227,32,2011,1
Kampong Speu,Basedth,Kak,5011301,Ta Reach,10,19,0.054,0.103,0.157,29,2011,1
Kampong Speu,Basedth,Kak,5011302,Toap Mreak,19,28,0.238,0.35,0.588,47,2011,1
Kampong Speu,Basedth,Kak,5011303,Krang Traok,5,15,0.036,0.109,0.146,20,2011,1
Kampong Speu,Basedth,Kak,5011304,Trapeang Teab,4,12,0.049,0.148,0.198,16,2011,1
Kampong Speu,Basedth,Kak,5011305,Trapeang Krasang,11,8,0.262,0.19,0.452,19,2011,1
Kampong Speu,Basedth,Kak,5011306,Prey Chhnuol,8,11,0.151,0.208,0.358,19,2011,1
Kampong Speu,Basedth,Kak,5011307,Ruessei Veal,5,7,0.086,0.121,0.207,12,2011,1
Kampong Speu,Basedth,Kak,5011308,Kbal Thnal,4,7,0.044,0.077,0.121,11,2011,1
Kampong Speu,Basedth,Kak,5011309,Trapeang Pring,3,5,0.038,0.063,0.101,8,2011,2
Kampong Speu,Basedth,Kak,5011310,Trapeang Chhuk,5,12,0.039,0.094,0.133,17,2011,1
Kampong Speu,Basedth,Kak,5011311,Khnar,4,4,0.085,0.085,0.17,8,2011,2
Kampong Speu,Basedth,Kak,5011312,Cheung Phnum,18,11,0.161,0.098,0.259,29,2011,1
Kampong Speu,Basedth,Kak,5011313,Prech,7,12,0.073,0.125,0.198,19,2011,2
Kampong Speu,Basedth,Kak,5011314,Phchoek,3,17,0.022,0.125,0.147,20,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011401,Tram Sasar,4,12,0.067,0.2,0.267,16,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011402,Kbier,4,19,0.026,0.123,0.149,23,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011403,Phsar Slab Leaeng,5,6,0.023,0.028,0.051,11,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011404,Ou Preal,17,14,0.181,0.149,0.33,31,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011405,Prey Dob,4,10,0.054,0.135,0.189,14,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011406,Slaeng,8,23,0.057,0.164,0.221,31,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011407,Trapeang Sya,8,15,0.047,0.088,0.135,23,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011408,Srae Pring,14,15,0.077,0.082,0.159,29,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011409,Thlok,12,13,0.15,0.162,0.312,25,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011410,Slab Leaeng,8,14,0.068,0.12,0.188,22,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011411,Kreul,1,16,0.022,0.356,0.378,17,2011,2
Kampong Speu,Basedth,Svay Rumpear,5011412,Tuol,13,17,0.055,0.072,0.128,30,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011413,Khnar Ta Nong,11,11,0.155,0.155,0.31,22,2011,1
Kampong Speu,Basedth,Svay Rumpear,5011414,Kandieng,6,9,0.053,0.079,0.132,15,2011,1
Kampong Speu,Basedth,Preah Khae,5011501,Tnaot Mdaeum,3,5,0.026,0.044,0.07,8,2011,1
Kampong Speu,Basedth,Preah Khae,5011502,Prey Ba Krong,7,29,0.032,0.133,0.165,36,2011,1
Kampong Speu,Basedth,Preah Khae,5011503,Boeng,4,12,0.043,0.128,0.17,16,2011,2
Kampong Speu,Basedth,Preah Khae,5011504,Trapeang Veaeng,12,14,0.072,0.084,0.157,26,2011,2
Kampong Speu,Basedth,Preah Khae,5011505,Khnang Phum,20,33,0.111,0.183,0.294,53,2011,2
Kampong Speu,Basedth,Preah Khae,5011506,Thnal dach,21,21,0.116,0.116,0.232,42,2011,1
Kampong Speu,Basedth,Preah Khae,5011507,Thnal,3,27,0.03,0.27,0.3,30,2011,1
Kampong Speu,Basedth,Preah Khae,5011508,Khlouk,8,20,0.045,0.112,0.157,28,2011,1
Kampong Speu,Basedth,Preah Khae,5011509,Trapeang Prei,14,16,0.113,0.129,0.242,30,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020101,Ta Mol,14,18,0.068,0.087,0.155,32,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020102,Phkong,2,3,0.027,0.041,0.068,5,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020103,Trapeang Leuk,2,5,0.018,0.046,0.064,7,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020104,Pech Sangvar,2,3,0.044,0.067,0.111,5,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020105,Angk Prasat,3,1,0.049,0.016,0.066,4,2011,2
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020106,Roluos,8,5,0.049,0.03,0.079,13,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020108,Borei Kammeakkar,3,17,0.013,0.075,0.088,20,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020109,Chamkar Doung,3,4,0.019,0.025,0.045,7,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020110,Sambuor,2,8,0.017,0.067,0.083,10,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020111,Phnum Dei,7,10,0.066,0.094,0.16,17,2011,2
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020112,Prey Sloek,13,15,0.11,0.127,0.237,28,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020113,Sampov,10,6,0.039,0.023,0.062,16,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Chbar Mon,5020114,Khtum Krang,4,6,0.048,0.071,0.119,10,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Kandaol Dom,5020201,Thmei,9,5,0.06,0.033,0.093,14,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Kandaol Dom,5020202,Kaoh Vien,7,10,0.04,0.058,0.098,17,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Kandaol Dom,5020203,Rumleang,19,6,0.123,0.039,0.162,25,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Kandaol Dom,5020204,Pongro,11,3,0.089,0.024,0.113,14,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Kandaol Dom,5020205,Phsar Sameakki,3,12,0.012,0.049,0.061,15,2011,1
Kampong Speu,Krong Chbar Mon,Sangkat Kandaol Dom,5020206,Nhor,2,10,0.013,0.067,0.081,12,2011,1
