longitude,latitude,vil_code,village,school_name,school_dist
103.1562549,13.51477086,1040513,Doun Chraeng,Chup Vary,12412.04517
103.2325353,13.61926224,1040601,Rohal,Rohal,1159.285486
103.2251496,13.61830581,1040602,Sala Chheh,Rohal,428.1645975
103.2187016,13.61554823,1040603,Chak,Rohal,649.1115699
103.2047866,13.62267879,1040604,Tep Kaosar,Rohal,1867.270819
103.2027968,13.61451193,1040605,Snay,Rohal,2171.16428
103.2038522,13.63261408,1040606,Anlong Thmei,Rohal,2367.860835
103.2166366,13.64445593,1040607,Popel,Rohal,2709.725885
103.2268495,13.63820225,1040608,Paoy Svay,Rohal,2029.27235
103.2324413,13.63191527,1040609,Ruessei,Rohal,1700.960688
103.2769363,13.61324685,1040610,Prey Moan,Rohal,6009.869822
103.2095926,13.4744853,1040611,Stueng Kambot,Rohal,16211.51252
103.2559495,13.70258109,1040701,Bantoat Baoh,Rohal,9799.172936
103.2253499,13.71501698,1040702,Tean Kam Lech,Rohal,10462.93744
103.2308829,13.71686431,1040703,Tean Kam Cheung,Rohal,10704.87225
103.227253,13.70780002,1040704,Tean Kam Tboung,Rohal,9675.120592
103.2430417,13.69797055,1040705,Ou,Rohal,8870.218786
103.2087347,13.69338619,1040706,Ta Un,Rohal,8187.858701
103.3161792,13.67505096,1040801,Smach,Phnom Srok,8162.284434
103.3454344,13.66458226,1040802,Paoy Char,Phnom Srok,8810.163445
103.3635316,13.65269874,1040803,Ta Khaek,Teuk Cho,7809.240109
103.3497685,13.63814546,1040804,Kouk kei,Teuk Cho,7555.86038
103.3461032,13.63360167,1040805,Tonloab,Teuk Cho,7550.50962
103.3995471,13.65745315,1040806,Kouk Tiem,Teuk Cho,7117.803168
103.3959172,13.64748679,1040807,Char Leu,Teuk Cho,6048.676395
103.3959951,13.63458861,1040808,Kantuot,Teuk Cho,4632.735945
103.3914918,13.61853332,1040809,Thmei,Teuk Cho,3040.492459
103.3943129,13.61132033,1040810,Kandal,Teuk Cho,2186.641541
103.3971217,13.60591501,1040811,Tuek Chour,Teuk Cho,1517.735125
103.4054324,13.60687229,1040812,Ta Siev,Teuk Cho,1552.580911
103.409159,13.60237659,1040813,Kampong Thkov,Teuk Cho,1258.824755
103.4027813,13.58877714,1040814,Ta Pon,Teuk Cho,488.8902574
103.4092796,13.58429915,1040815,Svay L'a,Kralanh,1017.37982
103.4157896,13.5780132,1040816,Ta Daek,Kralanh,891.5380104
103.4047985,13.56348058,1040817,Samraong,Kralanh,2865.559561
103.4066825,13.55806914,1040818,Anlong Vil,Kralanh,3306.361194
103.0423812,13.64411013,1040901,Trabaek,Chhnour Meanchey,6057.605934
103.0406661,13.64925699,1040902,Kandal,Chhnour Meanchey,6390.023179
103.041908,13.65217686,1040903,Kouk Thum,Chhnour Meanchey,6371.123927
103.0472888,13.67210171,1040904,Bos Sbov,Chhnour Meanchey,6997.363215
103.0380996,13.66570293,1040905,Soutr Mont,Chhnour Meanchey,7399.635125
103.0360865,13.6855693,1040906,Srah Khtum,Chhnour Meanchey,8890.969314
103.0670976,13.6819724,1040907,Kabau,Chhnour Meanchey,6448.106366
103.0599085,13.71106217,1040908,Kbal Khting,Chhnour Meanchey,9670.478619
103.0689774,13.71549833,1040909,Smach,Chhnour Meanchey,9773.558269
103.083203,13.72245057,1040910,Boeng Veaeng,Chhnour Meanchey,10173.63235
103.0644146,13.73307675,1040911,Bantoat Baoh,Chhnour Meanchey,11776.75967
103.0786338,13.72844314,1040912,Pring Kaong,Chhnour Meanchey,10908.52679
103.1117896,13.6897101,1040913,Khchas,Chhnour Meanchey,6642.874678
103.1055121,13.67255368,1040914,Khnhaer,Chhnour Meanchey,4640.478768
103.1114421,13.68228744,1040915,Khuo Svay,Chhnour Meanchey,5839.399224
103.1266972,13.68175259,1040916,Khvav,Chhnour Meanchey,6432.301165
103.1238313,13.69348006,1040917,Tbaeng,Chhnour Meanchey,7455.705697
102.8881296,13.64890053,1050101,Boeng Seila,Hun Sen Khla Kaun,8633.719978
102.8894824,13.64640887,1050102,Ta Chrueng,Hun Sen Khla Kaun,8369.795553
102.8863012,13.65084592,1050103,Ta Phaok,Hun Sen Khla Kaun,8913.607881
102.8867105,13.64638529,1050104,Paoy Voat,Hun Sen Khla Kaun,8631.71377
102.8689116,13.67334286,1050105,Chhuk,Kaub,10980.41108
102.875453,13.66526609,1050106,Chrey,Hun Sen Khla Kaun,10767.28409
102.7606783,13.61086208,1050201,Yeang thmei,Kaub,4104.525042
102.76871,13.60554874,1050202,Mak Heun,Kaub,3150.364434
102.7785096,13.60676591,1050203,Veang Muong,Kaub,2121.938852
102.7869097,13.60749136,1050204,Koub Kaeut,Kaub,1279.329421
102.7912288,13.60100559,1050205,Khai Dan,Kaub,721.8442226
102.8007066,13.60106239,1050206,Naka Chhay,Kaub,375.8550677
102.8057458,13.59957972,1050207,Koub Lech,Kaub,940.3981882
102.8211862,13.59617305,1050208,Koub Cheung,Kaub,2646.56644
102.8070588,13.58137411,1050209,Ou Chrov,Kaub,2570.191024
102.8377814,13.59374228,1050210,Souriya,Kaub,4454.220274
102.7618438,13.65974841,1050211,Koun Trei,Nimith,7385.051837
102.7486862,13.58553446,1050301,Koub Touch,Kaub,5632.625063
102.7428271,13.58874344,1050302,Kaoh Char,Nimith,5564.993479
102.7643967,13.58477228,1050303,Kuttaksat,Kaub,4112.214725
102.7590461,13.5466192,1050304,Yeay At,Kaub,7483.897463
102.852569,13.53855745,1050501,Banlech,Kaub,9258.698514
102.847908,13.54436402,1050502,Neak Ta Chhor,Kaub,8442.066759
